Group,File,Solver,Result,Time,AllocBytes(KB),instances,clause-len,vars,clauses
uf20,test/uf20-0699.cnf,DPLL,True,0.003944000,2013.55,1000,3,20,91
uf20,test/uf20-0698.cnf,DPLL,True,0.006956000,738.40,1000,3,20,91
uf20,test/uf20-0697.cnf,DPLL,True,0.008326700,1723.51,1000,3,20,91
uf20,test/uf20-0696.cnf,DPLL,True,0.003911300,2508.68,1000,3,20,91
uf20,test/uf20-0695.cnf,DPLL,True,0.006274900,1970.13,1000,3,20,91
uf20,test/uf20-0694.cnf,DPLL,True,0.003656500,1384.03,1000,3,20,91
uf20,test/uf20-0693.cnf,DPLL,True,0.007612200,1257.62,1000,3,20,91
uf20,test/uf20-0692.cnf,DPLL,True,0.004849300,462.31,1000,3,20,91
uf20,test/uf20-0691.cnf,DPLL,True,0.004647200,18014398509481980.00,1000,3,20,91
uf20,test/uf20-0690.cnf,DPLL,True,0.003860000,2785.73,1000,3,20,91
uf20,test/uf20-0689.cnf,DPLL,True,0.007809700,2151.71,1000,3,20,91
uf20,test/uf20-0688.cnf,DPLL,True,0.005763900,1412.63,1000,3,20,91
uf20,test/uf20-0687.cnf,DPLL,True,0.007800300,1069.80,1000,3,20,91
